Rank,Name,Position
228,Antwane Wells Jr.,WR
229,Phil Mafah,RB
230,Willie Lampkin,OG
231,Thomas Fidone,TE
232,Kyren Lacy,WR
233,Collin Oliver,LB
234,Elijah Williams,EDGE
235,Jermari Harris,CB
236,Brandon Crenshaw-Dickson,OT
237,Jalen Travis,OT
238,Jimmy Horn Jr.,WR
239,Trevor Etienne,RB
240,Isas Waxter,CB
241,Johnny Walker,EDGE
242,Caleb Ransaw,CB
243,Nazir Stackhouse,DT
244,Cody Simon,LB
245,Mac McWilliams,CB
246,Craig Woodson,S
247,Xavier Truss,OG
248,Nick Martin,LB
249,Shilo Sanders,S
250,Rayuan Lane III,S
251,Ja'Corey Brooks,WR
252,Jason Marshall Jr.,CB
253,Glendon Miller,S
254,Jacory Croskey-Merritt,RB
255,Barryn Sorrell,EDGE
256,LaJohntay Wester,WR
257,Max Brosmer,QB
258,Gerad Christian-Lichtenhan,OT
259,Elijhah Badger,WR
260,Bru McCoy,WR
261,Karene Reid,LB
262,Alijah Huzzie,CB
263,Ja'Quinden Jackson,RB
264,Gavin Bartholomew,TE
265,Robert Longerbeam,CB
266,Andrew Armstrong,WR
267,Jackson Woodard,LB
268,Caden Prieskorn,TE
269,KeAndre Lambert-Smith,WR
270,Efton Chism,WR
271,Gus Hartwig,OC
272,Yahya Black,DT
273,RJ Oben,EDGE
274,Theo Wease Jr.,WR
275,Caleb Rogers,OT
276,Aaron Smith,LB
277,Isaiah Neyor,WR
278,Will Sheppard,WR
279,De'Rickey Wright,S
280,O’Donnell Fortune,CB
281,Benjamin Yurosek,TE
282,Adin Huntington,DT
283,Donovan Edwards,RB
284,Tamuarion Wilson,LB
285,Fentrell Cypress III,CB
286,Corey Thornton,CB
287,Malik Verdon,S
288,Nofoafia Tulafono,OC
289,Mario Anderson Jr.,RB
290,Warren Brinson,DT
291,Carson Bruener,LB
292,Tyreem Powell,LB
293,Zakhari Franklin,WR
294,Quinton Cooley,RB
295,Arian Smith,WR
296,Myles Purchase,CB
297,Jailin Walker,LB
298,Kenny Gallop Jr.,S
299,Bilhal Kone,CB
300,Jalen McLeod,LB
301,Garnett Hollis Jr.,CB
302,Tysheem Johnson,S
303,Sam Brown,WR
304,John Williams,OT
305,Cam Horsley,DT
306,Ahmed Hassanein,EDGE
307,Quentin Skinner,WR
308,Thor Griffith,DT
309,Jahvaree Ritzie,DT
310,Drew Kendall,OC
311,Devonte O’Malley,DT
312,Robert McDaniel,S
313,Cooper Mays,OG
314,Jamoi Mayes,WR
315,Jordan Oladokun,CB
316,Elijah Alston,EDGE
317,Eric Gregory,DT
318,David Gbenda,LB
319,Addison West,OG
320,Jay Toia,DT
321,Chandler Martin,LB
322,Josh Priebe,OG
323,Jerjuan Newton,WR
